age,job,marital,education,default,balance,housing,loan,duration,campaign,pdays,previous,poutcome,deposit
52,housemaid,married,secondary,no,3923,yes,no,942,3,-1,0,unknown,yes
53,technician,divorced,primary,no,1443,yes,no,476,1,-1,0,unknown,yes
48,blue-collar,divorced,primary,no,24,yes,no,832,1,-1,0,unknown,yes
41,blue-collar,single,primary,no,1618,yes,no,1553,1,-1,0,unknown,yes
39,management,divorced,tertiary,no,517,yes,yes,1328,1,-1,0,unknown,yes
59,retired,married,secondary,no,1521,yes,yes,1125,2,-1,0,unknown,yes
41,blue-collar,married,secondary,no,2823,yes,no,858,1,-1,0,unknown,yes
48,blue-collar,married,secondary,no,1405,yes,no,629,2,-1,0,unknown,yes
40,admin.,married,secondary,no,1535,yes,no,704,1,-1,0,unknown,yes
48,blue-collar,married,secondary,no,1596,yes,no,760,1,-1,0,unknown,yes
60,retired,married,primary,no,1542,yes,no,930,1,-1,0,unknown,yes
40,technician,single,unknown,no,3652,yes,no,1028,2,-1,0,unknown,yes
57,technician,married,tertiary,no,-1,no,no,850,2,-1,0,unknown,yes
51,blue-collar,married,secondary,no,7180,yes,no,927,1,-1,0,unknown,yes
41,blue-collar,divorced,secondary,no,5291,yes,no,1423,3,-1,0,unknown,yes
41,blue-collar,married,secondary,no,1384,yes,no,1162,4,-1,0,unknown,yes
52,blue-collar,divorced,primary,no,-191,yes,no,755,1,-1,0,unknown,yes
59,blue-collar,married,primary,no,320,yes,no,695,1,-1,0,unknown,yes
44,blue-collar,married,unknown,no,146,yes,no,483,1,-1,0,unknown,yes
49,unknown,married,primary,no,341,yes,yes,520,2,-1,0,unknown,yes
40,services,married,primary,no,-9,yes,no,920,2,-1,0,unknown,yes
41,admin.,married,primary,no,-306,yes,no,500,1,-1,0,unknown,yes
44,technician,married,tertiary,no,4580,yes,no,911,2,-1,0,unknown,yes
60,services,single,primary,no,313,yes,no,920,2,-1,0,unknown,yes
29,management,married,tertiary,no,10576,no,no,1224,2,-1,0,unknown,yes
41,retired,divorced,primary,no,-233,yes,no,1156,2,-1,0,unknown,yes
41,blue-collar,married,primary,no,2453,yes,no,1052,1,-1,0,unknown,yes
42,technician,single,secondary,no,1364,yes,no,1867,6,-1,0,unknown,yes
36,services,single,unknown,no,281,yes,no,515,1,-1,0,unknown,yes
39,technician,married,tertiary,no,94,yes,yes,813,1,-1,0,unknown,yes
31,self-employed,single,tertiary,no,144,yes,no,676,1,-1,0,unknown,yes
26,blue-collar,married,secondary,no,246,yes,no,1143,3,-1,0,unknown,yes
31,blue-collar,married,secondary,no,92,yes,no,688,1,-1,0,unknown,yes
29,admin.,single,secondary,no,163,yes,yes,803,1,-1,0,unknown,yes
37,services,divorced,secondary,no,49,yes,no,619,2,-1,0,unknown,yes
33,blue-collar,single,secondary,no,-416,yes,no,767,2,-1,0,unknown,yes
24,technician,single,secondary,no,409,yes,no,912,1,-1,0,unknown,yes
50,admin.,divorced,secondary,no,363,yes,no,1340,1,-1,0,unknown,yes
27,technician,single,tertiary,no,3706,yes,no,897,1,-1,0,unknown,yes
54,management,single,tertiary,no,4393,yes,no,1297,3,-1,0,unknown,yes
30,technician,single,secondary,no,863,yes,no,1193,5,-1,0,unknown,yes
34,blue-collar,married,primary,no,695,yes,yes,1064,4,-1,0,unknown,yes
37,management,single,secondary,no,792,yes,no,1187,4,-1,0,unknown,yes
41,admin.,single,secondary,no,1020,yes,no,882,1,-1,0,unknown,yes
47,blue-collar,married,secondary,no,863,yes,no,943,2,-1,0,unknown,yes
31,admin.,married,secondary,no,97,yes,no,607,1,-1,0,unknown,yes
31,blue-collar,married,secondary,no,754,yes,no,1022,4,-1,0,unknown,yes
43,services,divorced,secondary,no,1040,yes,no,552,3,-1,0,unknown,yes
37,management,divorced,tertiary,no,122,yes,no,1622,2,-1,0,unknown,yes
30,technician,single,tertiary,no,880,yes,yes,967,6,-1,0,unknown,yes
41,technician,married,secondary,no,501,yes,no,579,5,-1,0,unknown,yes
36,blue-collar,married,secondary,no,4438,yes,no,446,1,-1,0,unknown,yes
35,blue-collar,divorced,secondary,no,0,yes,no,1205,1,-1,0,unknown,yes
29,services,single,secondary,no,271,yes,no,1882,2,-1,0,unknown,yes
35,blue-collar,married,primary,no,102,yes,no,1334,1,-1,0,unknown,yes
31,blue-collar,married,secondary,no,2,yes,no,182,2,-1,0,unknown,yes
35,services,married,secondary,no,4170,yes,no,1777,1,-1,0,unknown,yes
34,technician,single,secondary,no,85,yes,no,1182,4,-1,0,unknown,yes
31,admin.,single,secondary,no,431,yes,yes,1045,1,-1,0,unknown,yes
44,technician,divorced,secondary,no,982,yes,no,650,3,-1,0,unknown,yes
36,blue-collar,married,primary,no,408,yes,yes,1063,2,-1,0,unknown,yes
35,blue-collar,married,unknown,no,4822,yes,no,843,2,-1,0,unknown,yes
41,blue-collar,married,primary,no,1250,yes,no,1392,2,-1,0,unknown,yes
31,blue-collar,single,primary,no,216,yes,no,565,1,-1,0,unknown,yes
34,blue-collar,married,secondary,no,1207,yes,no,905,1,-1,0,unknown,yes
32,technician,married,secondary,no,791,yes,no,783,2,-1,0,unknown,yes
36,management,married,tertiary,no,849,yes,yes,958,2,-1,0,unknown,yes
30,blue-collar,single,secondary,yes,239,yes,no,412,1,-1,0,unknown,yes
37,technician,single,secondary,no,1211,yes,no,795,1,-1,0,unknown,yes
36,blue-collar,married,primary,no,599,yes,no,649,2,-1,0,unknown,yes
31,management,single,tertiary,no,825,yes,no,506,2,-1,0,unknown,yes
27,technician,married,secondary,no,2183,yes,yes,857,1,-1,0,unknown,yes
34,retired,married,primary,no,4499,no,no,1681,1,-1,0,unknown,yes
30,technician,single,tertiary,no,1289,yes,no,1697,2,-1,0,unknown,yes
32,technician,single,tertiary,no,4665,yes,no,860,2,-1,0,unknown,yes
37,technician,single,secondary,no,3326,yes,no,799,1,-1,0,unknown,yes
32,blue-collar,married,secondary,no,783,yes,no,923,3,-1,0,unknown,yes
33,blue-collar,married,secondary,no,0,yes,no,521,3,-1,0,unknown,yes
35,blue-collar,married,primary,no,994,yes,no,1349,8,-1,0,unknown,yes
35,self-employed,divorced,tertiary,no,1354,yes,no,736,2,-1,0,unknown,yes
30,blue-collar,single,secondary,no,239,yes,no,785,1,-1,0,unknown,yes
45,blue-collar,divorced,primary,no,-311,yes,no,1030,1,-1,0,unknown,yes
45,admin.,married,secondary,no,149,yes,no,893,3,-1,0,unknown,yes
33,blue-collar,married,secondary,no,1464,yes,no,588,3,-1,0,unknown,yes
44,management,divorced,tertiary,no,5773,no,no,597,6,-1,0,unknown,yes
40,blue-collar,married,primary,no,278,yes,no,1015,3,-1,0,unknown,yes
31,blue-collar,married,secondary,no,2910,yes,no,1392,2,-1,0,unknown,yes
30,technician,married,tertiary,no,541,yes,no,414,2,-1,0,unknown,yes
44,technician,divorced,secondary,no,1262,yes,no,788,11,-1,0,unknown,yes
34,services,married,secondary,no,-538,yes,no,682,1,-1,0,unknown,yes
37,blue-collar,married,secondary,no,125,no,no,679,2,-1,0,unknown,yes
28,self-employed,single,tertiary,no,0,yes,no,1560,2,-1,0,unknown,yes
32,admin.,single,secondary,no,620,yes,no,1234,3,-1,0,unknown,yes
37,blue-collar,divorced,secondary,no,316,yes,no,642,2,-1,0,unknown,yes
34,management,married,tertiary,no,2287,yes,no,895,4,-1,0,unknown,yes
38,admin.,divorced,secondary,no,198,yes,no,431,2,-1,0,unknown,yes
28,admin.,single,secondary,no,460,yes,no,741,6,-1,0,unknown,yes
31,management,divorced,tertiary,no,1145,yes,no,1272,4,-1,0,unknown,yes
59,services,married,secondary,no,-22,yes,no,748,3,-1,0,unknown,yes
24,blue-collar,married,secondary,no,685,yes,no,896,3,-1,0,unknown,yes
26,services,single,secondary,no,901,yes,no,764,2,-1,0,unknown,yes
59,retired,single,secondary,no,351,yes,no,1063,5,-1,0,unknown,yes
30,entrepreneur,single,primary,no,0,yes,yes,1051,1,-1,0,unknown,yes
37,admin.,married,secondary,no,274,yes,no,731,3,-1,0,unknown,yes
30,admin.,single,secondary,no,-213,yes,yes,751,1,-1,0,unknown,yes
25,blue-collar,married,secondary,no,97,yes,no,709,1,-1,0,unknown,yes
44,services,divorced,secondary,no,51,yes,yes,3094,2,-1,0,unknown,yes
29,management,married,tertiary,no,314,no,no,938,2,-1,0,unknown,yes
26,management,single,tertiary,no,6840,yes,no,1560,2,-1,0,unknown,yes
26,technician,single,secondary,no,668,yes,no,576,3,-1,0,unknown,yes
27,services,single,secondary,no,54,yes,no,543,2,-1,0,unknown,yes
25,self-employed,single,secondary,no,1242,yes,no,615,2,-1,0,unknown,yes
28,management,married,secondary,no,292,yes,no,507,1,-1,0,unknown,yes
23,services,single,secondary,no,665,yes,no,1183,1,-1,0,unknown,yes
34,management,single,tertiary,no,1058,yes,no,864,2,-1,0,unknown,yes
28,student,single,secondary,no,949,yes,no,1730,1,-1,0,unknown,yes
51,entrepreneur,married,unknown,no,606,yes,no,560,9,-1,0,unknown,yes
35,blue-collar,married,secondary,no,0,yes,yes,543,1,-1,0,unknown,yes
35,admin.,married,secondary,no,404,yes,no,539,1,-1,0,unknown,yes
56,blue-collar,married,secondary,no,249,yes,no,791,2,-1,0,unknown,yes
45,unemployed,divorced,secondary,no,3354,yes,no,746,1,-1,0,unknown,yes
60,blue-collar,divorced,secondary,no,0,yes,no,1207,1,-1,0,unknown,yes
56,technician,married,secondary,no,589,yes,no,535,2,-1,0,unknown,yes
27,management,single,tertiary,no,12956,yes,no,789,3,-1,0,unknown,yes
30,admin.,married,secondary,no,873,yes,no,792,3,-1,0,unknown,yes
45,blue-collar,divorced,primary,no,594,yes,no,833,2,-1,0,unknown,yes
29,blue-collar,single,secondary,no,-20,yes,no,814,2,-1,0,unknown,yes
38,management,divorced,tertiary,no,4692,yes,no,1363,2,-1,0,unknown,yes
30,blue-collar,married,secondary,no,486,yes,no,1109,3,-1,0,unknown,yes
44,blue-collar,single,primary,no,1593,yes,no,828,3,-1,0,unknown,yes
36,management,single,tertiary,no,7606,yes,no,917,1,-1,0,unknown,yes
38,technician,married,secondary,no,226,yes,no,762,3,-1,0,unknown,yes
36,blue-collar,single,secondary,no,366,yes,yes,1133,2,-1,0,unknown,yes
37,management,divorced,secondary,no,16,yes,no,638,1,-1,0,unknown,yes
35,management,single,tertiary,no,565,yes,no,763,1,-1,0,unknown,yes
38,admin.,divorced,secondary,no,19,yes,no,604,2,-1,0,unknown,yes
40,services,married,primary,no,1082,yes,no,854,2,-1,0,unknown,yes
42,unemployed,divorced,secondary,no,1713,yes,no,855,2,-1,0,unknown,yes
46,management,divorced,tertiary,no,14481,yes,no,1269,1,-1,0,unknown,yes
35,technician,divorced,secondary,no,5724,yes,no,691,10,-1,0,unknown,yes
34,technician,divorced,secondary,no,1451,yes,no,1097,15,-1,0,unknown,yes
32,services,married,secondary,no,-34,yes,no,1236,2,-1,0,unknown,yes
50,unemployed,married,secondary,no,3674,yes,no,886,3,-1,0,unknown,yes
35,blue-collar,married,secondary,no,698,yes,yes,1343,3,-1,0,unknown,yes
36,technician,single,secondary,no,4136,yes,no,812,3,-1,0,unknown,yes
53,blue-collar,divorced,primary,no,2656,yes,no,1980,2,-1,0,unknown,yes
46,management,single,tertiary,no,2904,yes,no,984,2,-1,0,unknown,yes
26,management,single,tertiary,no,1004,yes,no,228,2,-1,0,unknown,yes
45,technician,single,secondary,no,410,yes,no,891,4,-1,0,unknown,yes
31,unemployed,divorced,primary,no,0,yes,no,745,12,-1,0,unknown,yes
29,management,single,tertiary,no,0,yes,no,539,12,-1,0,unknown,yes
53,entrepreneur,single,secondary,no,62,yes,no,1044,5,-1,0,unknown,yes
27,blue-collar,married,primary,no,416,yes,no,1193,2,-1,0,unknown,yes
39,management,married,tertiary,no,2763,yes,no,526,2,-1,0,unknown,yes
36,services,married,secondary,no,2984,yes,no,394,1,-1,0,unknown,yes
41,blue-collar,married,primary,no,143,yes,yes,659,2,-1,0,unknown,yes
36,services,married,primary,no,0,yes,no,1036,1,-1,0,unknown,yes
32,technician,married,secondary,no,696,yes,no,815,1,-1,0,unknown,yes
35,services,married,secondary,no,152,yes,no,563,1,-1,0,unknown,yes
36,management,single,tertiary,no,-78,yes,no,1068,1,-1,0,unknown,yes
35,management,married,tertiary,no,867,yes,no,230,3,-1,0,unknown,yes
30,blue-collar,single,secondary,no,953,yes,no,747,2,-1,0,unknown,yes
42,blue-collar,married,secondary,no,443,yes,no,671,5,-1,0,unknown,yes
42,technician,single,secondary,yes,-1129,yes,no,555,5,-1,0,unknown,yes
32,blue-collar,married,primary,no,415,yes,no,777,4,-1,0,unknown,yes
29,blue-collar,single,secondary,no,260,yes,no,707,14,-1,0,unknown,yes
44,management,divorced,tertiary,yes,-411,yes,no,432,4,-1,0,unknown,yes
32,technician,single,secondary,no,1279,yes,no,1173,3,-1,0,unknown,yes
31,unemployed,married,secondary,no,86,yes,yes,963,2,-1,0,unknown,yes
40,self-employed,married,secondary,yes,-754,yes,yes,941,3,-1,0,unknown,yes
43,entrepreneur,married,secondary,no,0,no,no,1025,7,-1,0,unknown,yes
27,management,single,secondary,no,178,yes,no,732,2,-1,0,unknown,yes
37,services,single,secondary,no,278,yes,no,1045,3,-1,0,unknown,yes
23,services,single,secondary,no,425,yes,no,768,1,-1,0,unknown,yes
25,management,married,primary,no,168,yes,no,801,1,-1,0,unknown,yes
26,blue-collar,single,secondary,yes,-36,yes,no,482,2,-1,0,unknown,yes
47,blue-collar,divorced,primary,no,126,yes,no,2456,2,-1,0,unknown,yes
35,admin.,married,secondary,no,-87,yes,no,1363,7,-1,0,unknown,yes
32,technician,single,tertiary,no,6281,yes,no,1336,4,-1,0,unknown,yes
45,management,divorced,secondary,no,644,yes,no,633,1,-1,0,unknown,yes
30,admin.,divorced,secondary,no,377,yes,no,524,15,-1,0,unknown,yes
29,services,single,secondary,no,-271,yes,no,578,1,-1,0,unknown,yes
38,blue-collar,married,primary,no,5839,yes,no,984,2,-1,0,unknown,yes
23,blue-collar,single,secondary,no,492,yes,no,638,1,-1,0,unknown,yes
27,management,single,tertiary,no,99,yes,no,767,2,-1,0,unknown,yes
27,management,single,tertiary,yes,-713,yes,no,525,2,-1,0,unknown,yes
29,services,single,secondary,no,32,yes,no,563,1,-1,0,unknown,yes
30,self-employed,married,tertiary,no,543,yes,yes,1449,6,-1,0,unknown,yes
36,blue-collar,married,primary,no,403,yes,no,920,1,-1,0,unknown,yes
35,admin.,divorced,secondary,no,437,yes,no,908,1,-1,0,unknown,yes
36,blue-collar,married,secondary,no,1772,no,no,208,1,-1,0,unknown,yes
59,retired,divorced,primary,no,-88,yes,no,910,2,-1,0,unknown,yes
47,entrepreneur,married,secondary,no,0,no,no,1446,1,-1,0,unknown,yes
58,entrepreneur,married,tertiary,no,853,no,no,1149,2,-1,0,unknown,yes
37,management,single,tertiary,no,240,no,no,1123,1,-1,0,unknown,yes
46,admin.,single,secondary,no,849,yes,no,508,2,-1,0,unknown,yes
43,blue-collar,single,secondary,no,318,yes,no,736,2,-1,0,unknown,yes
27,management,single,tertiary,no,703,yes,no,590,3,-1,0,unknown,yes
38,services,divorced,secondary,no,61,no,no,636,1,-1,0,unknown,yes
53,housemaid,married,primary,no,104,no,yes,701,1,-1,0,unknown,yes
47,blue-collar,married,secondary,no,1996,no,no,761,2,-1,0,unknown,yes
56,housemaid,divorced,primary,yes,1238,no,no,1558,1,-1,0,unknown,yes
41,housemaid,married,secondary,no,879,no,no,1053,2,-1,0,unknown,yes
29,self-employed,married,secondary,no,425,yes,no,562,15,-1,0,unknown,yes
50,technician,married,secondary,no,416,yes,no,494,5,-1,0,unknown,yes
45,blue-collar,divorced,primary,no,844,no,no,1018,3,-1,0,unknown,yes
35,blue-collar,married,secondary,no,860,yes,no,884,4,-1,0,unknown,yes
26,technician,single,secondary,no,639,yes,no,709,5,-1,0,unknown,yes
26,admin.,married,secondary,no,710,yes,yes,1276,2,-1,0,unknown,yes
37,blue-collar,married,unknown,no,1508,no,yes,381,2,-1,0,unknown,yes
30,admin.,single,secondary,no,223,yes,no,862,11,-1,0,unknown,yes
38,management,single,tertiary,no,619,yes,no,460,4,-1,0,unknown,yes
37,services,divorced,secondary,no,319,yes,no,467,3,-1,0,unknown,yes
53,technician,married,secondary,no,480,no,no,648,2,-1,0,unknown,yes
29,blue-collar,single,primary,no,213,yes,no,2653,3,-1,0,unknown,yes
35,management,single,tertiary,no,68,no,no,1085,1,-1,0,unknown,yes
28,blue-collar,married,secondary,no,2788,yes,no,369,2,-1,0,unknown,yes
55,blue-collar,married,unknown,no,7561,no,no,685,3,-1,0,unknown,yes
49,management,divorced,secondary,no,-46,yes,no,1055,10,-1,0,unknown,yes
50,services,married,secondary,no,1595,no,no,882,1,-1,0,unknown,yes
43,management,single,tertiary,no,1046,no,no,901,1,-1,0,unknown,yes
58,self-employed,divorced,tertiary,no,1382,no,no,700,1,-1,0,unknown,yes
38,technician,married,primary,no,217,yes,no,491,6,-1,0,unknown,yes
48,blue-collar,divorced,primary,no,183,no,no,940,1,-1,0,unknown,yes
59,management,married,secondary,no,1321,no,no,3881,3,-1,0,unknown,yes
58,blue-collar,married,secondary,no,25,no,no,486,3,-1,0,unknown,yes
36,self-employed,single,tertiary,no,4844,no,no,1137,3,-1,0,unknown,yes
42,entrepreneur,married,tertiary,no,5345,no,no,878,3,-1,0,unknown,yes
41,admin.,single,secondary,no,812,no,yes,583,4,-1,0,unknown,yes
42,admin.,married,secondary,no,105,no,no,1159,4,-1,0,unknown,yes
39,management,married,tertiary,no,-190,no,yes,893,8,-1,0,unknown,yes
57,housemaid,married,primary,no,625,no,yes,867,1,-1,0,unknown,yes
52,retired,married,unknown,no,293,no,no,706,1,-1,0,unknown,yes
59,retired,married,unknown,no,1033,no,no,1199,1,-1,0,unknown,yes
56,blue-collar,married,secondary,no,1210,no,no,935,1,-1,0,unknown,yes
49,management,married,tertiary,no,64,no,no,586,1,-1,0,unknown,yes
35,blue-collar,divorced,unknown,no,164,no,no,967,2,-1,0,unknown,yes
36,unemployed,married,secondary,no,1766,no,no,595,2,-1,0,unknown,yes
40,admin.,single,tertiary,no,1248,no,no,1290,2,-1,0,unknown,yes
55,blue-collar,married,secondary,no,0,no,no,614,2,-1,0,unknown,yes
58,admin.,married,secondary,no,826,no,no,885,1,-1,0,unknown,yes
39,self-employed,married,tertiary,no,2630,no,no,651,5,-1,0,unknown,yes
47,housemaid,single,tertiary,no,3727,no,no,993,6,-1,0,unknown,yes
40,management,married,secondary,no,406,yes,no,577,2,-1,0,unknown,yes
35,blue-collar,married,tertiary,no,2999,no,no,1141,6,-1,0,unknown,yes
48,blue-collar,married,secondary,no,1000,yes,no,1268,2,-1,0,unknown,yes
48,management,divorced,tertiary,no,503,no,yes,1243,7,-1,0,unknown,yes
24,blue-collar,single,secondary,yes,-203,yes,no,465,3,-1,0,unknown,yes
49,blue-collar,married,primary,no,361,yes,no,513,2,-1,0,unknown,yes
36,blue-collar,married,secondary,no,274,yes,no,686,11,-1,0,unknown,yes
52,retired,divorced,tertiary,no,3687,yes,yes,741,4,-1,0,unknown,yes
42,entrepreneur,single,unknown,no,323,no,no,617,1,-1,0,unknown,yes
36,services,married,secondary,no,981,no,no,1093,1,-1,0,unknown,yes
36,blue-collar,divorced,secondary,no,638,yes,no,1395,2,-1,0,unknown,yes
48,unemployed,single,tertiary,no,3229,no,no,1089,1,-1,0,unknown,yes
51,management,single,secondary,no,1610,yes,no,1248,3,-1,0,unknown,yes
51,blue-collar,married,secondary,no,33,no,yes,721,3,-1,0,unknown,yes
46,technician,married,secondary,no,536,yes,no,750,2,-1,0,unknown,yes
37,management,married,tertiary,no,0,no,no,637,6,-1,0,unknown,yes
36,entrepreneur,married,tertiary,no,3057,no,no,2769,4,-1,0,unknown,yes
47,management,married,secondary,no,2892,no,no,556,1,-1,0,unknown,yes
40,technician,divorced,tertiary,no,0,no,no,522,1,-1,0,unknown,yes
38,student,single,tertiary,no,3316,no,no,1345,3,-1,0,unknown,yes
40,management,married,secondary,no,106,no,no,676,2,-1,0,unknown,yes
39,blue-collar,married,primary,no,2303,yes,no,775,3,-1,0,unknown,yes
60,management,married,tertiary,no,3301,no,no,2621,3,-1,0,unknown,yes
39,self-employed,single,tertiary,no,426,no,no,1029,1,-1,0,unknown,yes
51,services,divorced,secondary,no,9,no,no,371,2,-1,0,unknown,yes
27,admin.,married,secondary,no,-97,yes,no,1528,2,-1,0,unknown,yes
41,management,single,tertiary,no,11008,no,no,1540,1,-1,0,unknown,yes
42,blue-collar,single,primary,no,4930,no,no,973,1,-1,0,unknown,yes
41,entrepreneur,married,secondary,no,707,no,no,707,1,-1,0,unknown,yes
33,technician,married,secondary,no,4,yes,yes,625,2,-1,0,unknown,yes
46,admin.,married,secondary,no,126,no,no,1255,1,-1,0,unknown,yes
31,blue-collar,married,secondary,no,671,yes,no,704,4,-1,0,unknown,yes
41,blue-collar,married,primary,no,219,no,yes,1574,3,-1,0,unknown,yes
41,blue-collar,divorced,secondary,no,3622,no,no,1135,4,-1,0,unknown,yes
55,retired,divorced,secondary,no,1580,no,yes,1007,1,-1,0,unknown,yes
53,technician,married,secondary,no,1319,no,no,1318,3,-1,0,unknown,yes
55,housemaid,married,primary,no,2152,no,no,922,2,-1,0,unknown,yes
39,services,married,secondary,no,2843,yes,no,585,1,-1,0,unknown,yes
40,entrepreneur,married,tertiary,yes,0,no,no,952,4,-1,0,unknown,yes
59,retired,married,primary,no,1115,no,no,834,1,-1,0,unknown,yes
42,blue-collar,single,secondary,no,625,no,no,651,3,-1,0,unknown,yes
41,blue-collar,married,primary,no,246,no,no,683,3,-1,0,unknown,yes
27,blue-collar,married,secondary,no,61,yes,no,1012,1,-1,0,unknown,yes
25,blue-collar,single,secondary,no,-191,yes,no,958,7,-1,0,unknown,yes
43,unemployed,married,primary,no,519,no,no,973,2,-1,0,unknown,yes
44,services,married,secondary,no,522,no,yes,911,1,-1,0,unknown,yes
26,blue-collar,single,secondary,no,-46,yes,no,382,7,-1,0,unknown,yes
52,retired,married,tertiary,no,2269,no,no,1210,1,-1,0,unknown,yes
54,services,married,unknown,no,386,no,yes,838,1,-1,0,unknown,yes
56,management,married,tertiary,no,0,no,yes,422,1,-1,0,unknown,yes
57,management,married,tertiary,no,9103,no,yes,1098,2,-1,0,unknown,yes
29,blue-collar,single,secondary,no,908,yes,no,1663,1,-1,0,unknown,yes
47,technician,married,tertiary,no,1694,no,yes,560,3,-1,0,unknown,yes
57,management,married,tertiary,no,-92,yes,yes,1617,1,-1,0,unknown,yes
40,blue-collar,married,secondary,no,188,yes,yes,570,2,-1,0,unknown,yes
46,services,divorced,secondary,no,0,no,no,1023,3,-1,0,unknown,yes
43,blue-collar,single,secondary,no,740,yes,no,585,2,-1,0,unknown,yes
45,management,married,tertiary,no,655,no,no,693,3,-1,0,unknown,yes
24,management,married,secondary,no,867,yes,no,546,10,-1,0,unknown,yes
40,blue-collar,married,secondary,no,1009,yes,yes,1036,5,-1,0,unknown,yes
38,services,divorced,unknown,no,6360,no,no,1409,2,-1,0,unknown,yes
36,unemployed,married,tertiary,no,4145,no,no,988,4,-1,0,unknown,yes
27,blue-collar,single,secondary,yes,-27,no,no,498,2,-1,0,unknown,yes
26,admin.,single,primary,no,-122,yes,no,670,3,-1,0,unknown,yes
43,management,married,tertiary,no,149,yes,no,662,2,-1,0,unknown,yes
25,blue-collar,single,primary,no,52,yes,no,528,2,-1,0,unknown,yes
27,blue-collar,married,tertiary,no,335,yes,no,519,3,-1,0,unknown,yes
30,technician,married,tertiary,no,526,yes,yes,677,3,-1,0,unknown,yes
28,admin.,single,secondary,no,-7,no,yes,3183,2,-1,0,unknown,yes
27,blue-collar,married,primary,no,-413,no,yes,422,6,-1,0,unknown,yes
32,admin.,divorced,secondary,no,-241,no,yes,856,2,-1,0,unknown,yes
41,blue-collar,single,secondary,no,75,yes,no,479,9,-1,0,unknown,yes
37,technician,single,tertiary,no,0,no,no,1135,2,-1,0,unknown,yes
27,technician,single,secondary,no,158,no,no,650,2,-1,0,unknown,yes
